PART,GROUP,SEX,age_band,condition,time1
CH07,CH,F,1,IMRE_Time_per_diff,77.63
CH13,CH,M,1,IMRE_Time_per_diff,53.67
CH15,CH,M,1,IMRE_Time_per_diff,96
CH19,CH,F,1,IMRE_Time_per_diff,69.33
CH08,CH,F,1,IMRE_Time_per_diff,68.89
CH18,CH,F,1,IMRE_Time_per_diff,209.67
CH02,CH,F,1,IMRE_Time_per_diff,38.67
CH01,CH,F,1,IMRE_Time_per_diff,43.09
CH16,CH,M,1,IMRE_Time_per_diff,61.4
CH22,CH,M,1,IMRE_Time_per_diff,56
CH32,CH,F,1,IMRE_Time_per_diff,62.5
CH23,CH,M,1,IMRE_Time_per_diff,49.09
CH05,CH,M,1,IMRE_Time_per_diff,49
CH33,CH,F,1,IMRE_Time_per_diff,29.67
CH06,CH,M,1,IMRE_Time_per_diff,31.58
CH17,CH,M,1,IMRE_Time_per_diff,68.22
CH10,CH,M,1,IMRE_Time_per_diff,55.82
CH09,CH,M,1,IMRE_Time_per_diff,68.56
CH20,CH,F,1,IMRE_Time_per_diff,42.5
CH21,CH,F,1,IMRE_Time_per_diff,29.92
CH12,CH,M,2,IMRE_Time_per_diff,40.08
CH11,CH,M,2,IMRE_Time_per_diff,55.36
CH35,CH,F,2,IMRE_Time_per_diff,47.67
CH03,CH,F,2,IMRE_Time_per_diff,56.64
CH34,CH,F,2,IMRE_Time_per_diff,41.73
CH04,CH,F,2,IMRE_Time_per_diff,45.75
CH24,CH,F,2,IMRE_Time_per_diff,38.33
CH25,CH,F,2,IMRE_Time_per_diff,45.18
CH28,CH,F,2,IMRE_Time_per_diff,56.64
CH26,CH,F,2,IMRE_Time_per_diff,52.25
CH27,CH,F,2,IMRE_Time_per_diff,44.1
CH30,CH,M,2,IMRE_Time_per_diff,51.55
CH29,CH,F,2,IMRE_Time_per_diff,56.18
CH31,CH,M,2,IMRE_Time_per_diff,48.73
YA17,YA,M,3,IMRE_Time_per_diff,33.92
YA15,YA,M,3,IMRE_Time_per_diff,34
YA10,YA,F,3,IMRE_Time_per_diff,42.7
YA20,YA,M,3,IMRE_Time_per_diff,46.17
YA13,YA,M,3,IMRE_Time_per_diff,57.82
YA16,YA,M,3,IMRE_Time_per_diff,29.92
YA18,YA,M,3,IMRE_Time_per_diff,37.5
YA05,YA,F,3,IMRE_Time_per_diff,35.67
YA07,YA,F,3,IMRE_Time_per_diff,51.67
YA04,YA,F,3,IMRE_Time_per_diff,49.5
YA03,YA,F,3,IMRE_Time_per_diff,46.5
YA12,YA,M,3,IMRE_Time_per_diff,28.17
YA14,YA,M,3,IMRE_Time_per_diff,29.08
YA08,YA,F,3,IMRE_Time_per_diff,44.33
YA11,YA,M,3,IMRE_Time_per_diff,35.58
YA09,YA,F,3,IMRE_Time_per_diff,34.73
YA19,YA,M,3,IMRE_Time_per_diff,56.27
YA01,YA,F,3,IMRE_Time_per_diff,56.55
YA06,YA,F,3,IMRE_Time_per_diff,56.18
YA02,YA,F,3,IMRE_Time_per_diff,40.58
MA04,MA,F,4,IMRE_Time_per_diff,34.33
MA19,MA,M,4,IMRE_Time_per_diff,56.91
MA01,MA,F,4,IMRE_Time_per_diff,47.33
MA20,MA,M,4,IMRE_Time_per_diff,41.58
MA03,MA,F,4,IMRE_Time_per_diff,60.5
MA05,MA,M,4,IMRE_Time_per_diff,42.7
MA02,MA,F,4,IMRE_Time_per_diff,39.5
MA23,MA,F,4,IMRE_Time_per_diff,34.17
MA16,MA,M,4,IMRE_Time_per_diff,42.5
MA06,MA,M,4,IMRE_Time_per_diff,31
MA24,MA,F,4,IMRE_Time_per_diff,36.33
MA22,MA,M,4,IMRE_Time_per_diff,56.36
MA14,MA,F,4,IMRE_Time_per_diff,40.9
MA13,MA,F,4,IMRE_Time_per_diff,59.5
MA18,MA,M,4,IMRE_Time_per_diff,43.42
MA17,MA,M,4,IMRE_Time_per_diff,51.5
MA21,MA,M,4,IMRE_Time_per_diff,49.42
MA12,MA,F,4,IMRE_Time_per_diff,26.75
MA11,MA,F,4,IMRE_Time_per_diff,55.64
MA15,MA,M,4,IMRE_Time_per_diff,57.73
OA43,OA,M,5,IMRE_Time_per_diff,49.83
OA41,OA,M,5,IMRE_Time_per_diff,61.4
OA48,OA,M,5,IMRE_Time_per_diff,39.83
OA47,OA,M,5,IMRE_Time_per_diff,40.17
OA44,OA,M,5,IMRE_Time_per_diff,32.17
OA42,OA,M,5,IMRE_Time_per_diff,45.33
OA05,OA,F,5,IMRE_Time_per_diff,51.17
OA46,OA,M,5,IMRE_Time_per_diff,55.73
OA07,OA,F,5,IMRE_Time_per_diff,45.42
OA08,OA,F,5,IMRE_Time_per_diff,57.09
OA39,OA,M,5,IMRE_Time_per_diff,39.75
OA06,OA,F,5,IMRE_Time_per_diff,51.5
OA33,OA,F,5,IMRE_Time_per_diff,62.2
OA40,OA,M,5,IMRE_Time_per_diff,35.25
OA02,OA,F,5,IMRE_Time_per_diff,29.73
OA26,OA,F,5,IMRE_Time_per_diff,55.09
OA45,OA,M,5,IMRE_Time_per_diff,62.3
OA32,OA,F,5,IMRE_Time_per_diff,56.82
OA01,OA,F,5,IMRE_Time_per_diff,42.58
OA27,OA,F,5,IMRE_Time_per_diff,40.33
OA29,OA,M,6,IMRE_Time_per_diff,56.45
OA34,OA,M,6,IMRE_Time_per_diff,54.36
OA21,OA,M,6,IMRE_Time_per_diff,56.36
OA30,OA,F,6,IMRE_Time_per_diff,50.18
OA36,OA,M,6,IMRE_Time_per_diff,51.58
OA16,OA,F,6,IMRE_Time_per_diff,49.82
OA17,OA,M,6,IMRE_Time_per_diff,44.33
OA14,OA,F,6,IMRE_Time_per_diff,41.75
OA35,OA,M,6,IMRE_Time_per_diff,44.58
OA18,OA,M,6,IMRE_Time_per_diff,42.08
OA13,OA,F,6,IMRE_Time_per_diff,46.64
OA11,OA,F,6,IMRE_Time_per_diff,37
OA24,OA,F,6,IMRE_Time_per_diff,27.7
OA15,OA,F,6,IMRE_Time_per_diff,56.55
OA31,OA,F,6,IMRE_Time_per_diff,53
OA25,OA,F,6,IMRE_Time_per_diff,52.18
OA20,OA,M,6,IMRE_Time_per_diff,52.42
OA23,OA,M,6,IMRE_Time_per_diff,40.58
OA09,OA,F,6,IMRE_Time_per_diff,55.5
OA37,OA,M,6,IMRE_Time_per_diff,51.08
CH07,CH,F,1,NORM_Time_per_diff,68.89
CH13,CH,M,1,NORM_Time_per_diff,77.88
CH15,CH,M,1,NORM_Time_per_diff,96.17
CH19,CH,F,1,NORM_Time_per_diff,106.83
CH08,CH,F,1,NORM_Time_per_diff,68.56
CH18,CH,F,1,NORM_Time_per_diff,156
CH02,CH,F,1,NORM_Time_per_diff,56.45
CH01,CH,F,1,NORM_Time_per_diff,89.29
CH16,CH,M,1,NORM_Time_per_diff,61.3
CH22,CH,M,1,NORM_Time_per_diff,50.92
CH32,CH,F,1,NORM_Time_per_diff,55.91
CH23,CH,M,1,NORM_Time_per_diff,32.5
CH05,CH,M,1,NORM_Time_per_diff,56.36
CH33,CH,F,1,NORM_Time_per_diff,61.4
CH06,CH,M,1,NORM_Time_per_diff,37.92
CH17,CH,M,1,NORM_Time_per_diff,56.09
CH10,CH,M,1,NORM_Time_per_diff,38.17
CH09,CH,M,1,NORM_Time_per_diff,56
CH20,CH,F,1,NORM_Time_per_diff,55.82
CH21,CH,F,1,NORM_Time_per_diff,52.64
CH12,CH,M,2,NORM_Time_per_diff,29.5
CH11,CH,M,2,NORM_Time_per_diff,47.58
CH35,CH,F,2,NORM_Time_per_diff,24.64
CH03,CH,F,2,NORM_Time_per_diff,57
CH34,CH,F,2,NORM_Time_per_diff,32.73
CH04,CH,F,2,NORM_Time_per_diff,56.36
CH24,CH,F,2,NORM_Time_per_diff,55.91
CH25,CH,F,2,NORM_Time_per_diff,43.67
CH28,CH,F,2,NORM_Time_per_diff,61.6
CH26,CH,F,2,NORM_Time_per_diff,37.64
CH27,CH,F,2,NORM_Time_per_diff,57.18
CH30,CH,M,2,NORM_Time_per_diff,28.67
CH29,CH,F,2,NORM_Time_per_diff,52.08
CH31,CH,M,2,NORM_Time_per_diff,56
YA17,YA,M,3,NORM_Time_per_diff,57.73
YA15,YA,M,3,NORM_Time_per_diff,43.08
YA10,YA,F,3,NORM_Time_per_diff,24.58
YA20,YA,M,3,NORM_Time_per_diff,29.5
YA13,YA,M,3,NORM_Time_per_diff,48.58
YA16,YA,M,3,NORM_Time_per_diff,31.08
YA18,YA,M,3,NORM_Time_per_diff,31.33
YA05,YA,F,3,NORM_Time_per_diff,24.58
YA07,YA,F,3,NORM_Time_per_diff,61.5
YA04,YA,F,3,NORM_Time_per_diff,57.55
YA03,YA,F,3,NORM_Time_per_diff,56
YA12,YA,M,3,NORM_Time_per_diff,28.17
YA14,YA,M,3,NORM_Time_per_diff,28
YA08,YA,F,3,NORM_Time_per_diff,38.33
YA11,YA,M,3,NORM_Time_per_diff,48.75
YA09,YA,F,3,NORM_Time_per_diff,32.2
YA19,YA,M,3,NORM_Time_per_diff,33.5
YA01,YA,F,3,NORM_Time_per_diff,47.08
YA06,YA,F,3,NORM_Time_per_diff,25.67
YA02,YA,F,3,NORM_Time_per_diff,45.75
MA04,MA,F,4,NORM_Time_per_diff,39.33
MA19,MA,M,4,NORM_Time_per_diff,45.25
MA01,MA,F,4,NORM_Time_per_diff,41.83
MA20,MA,M,4,NORM_Time_per_diff,33.83
MA03,MA,F,4,NORM_Time_per_diff,62.2
MA05,MA,M,4,NORM_Time_per_diff,28.25
MA02,MA,F,4,NORM_Time_per_diff,43.83
MA23,MA,F,4,NORM_Time_per_diff,64.4
MA16,MA,M,4,NORM_Time_per_diff,52.42
MA06,MA,M,4,NORM_Time_per_diff,24.75
MA24,MA,F,4,NORM_Time_per_diff,58.18
MA22,MA,M,4,NORM_Time_per_diff,56
MA14,MA,F,4,NORM_Time_per_diff,45.58
MA13,MA,F,4,NORM_Time_per_diff,46.5
MA18,MA,M,4,NORM_Time_per_diff,63.3
MA17,MA,M,4,NORM_Time_per_diff,56.45
MA21,MA,M,4,NORM_Time_per_diff,56.73
MA12,MA,F,4,NORM_Time_per_diff,33.67
MA11,MA,F,4,NORM_Time_per_diff,31.73
MA15,MA,M,4,NORM_Time_per_diff,62.1
OA43,OA,M,5,NORM_Time_per_diff,46.33
OA41,OA,M,5,NORM_Time_per_diff,50.17
OA48,OA,M,5,NORM_Time_per_diff,53.91
OA47,OA,M,5,NORM_Time_per_diff,53.82
OA44,OA,M,5,NORM_Time_per_diff,57.27
OA42,OA,M,5,NORM_Time_per_diff,39.83
OA05,OA,F,5,NORM_Time_per_diff,56.45
OA46,OA,M,5,NORM_Time_per_diff,53
OA07,OA,F,5,NORM_Time_per_diff,52.5
OA08,OA,F,5,NORM_Time_per_diff,58.18
OA39,OA,M,5,NORM_Time_per_diff,56.45
OA06,OA,F,5,NORM_Time_per_diff,58.45
OA33,OA,F,5,NORM_Time_per_diff,58.91
OA40,OA,M,5,NORM_Time_per_diff,46.17
OA02,OA,F,5,NORM_Time_per_diff,40.75
OA26,OA,F,5,NORM_Time_per_diff,32.18
OA45,OA,M,5,NORM_Time_per_diff,57.91
OA32,OA,F,5,NORM_Time_per_diff,56.36
OA01,OA,F,5,NORM_Time_per_diff,33.5
OA27,OA,F,5,NORM_Time_per_diff,54.25
OA29,OA,M,6,NORM_Time_per_diff,59.64
OA34,OA,M,6,NORM_Time_per_diff,50.17
OA21,OA,M,6,NORM_Time_per_diff,43.27
OA30,OA,F,6,NORM_Time_per_diff,37.75
OA36,OA,M,6,NORM_Time_per_diff,40.33
OA16,OA,F,6,NORM_Time_per_diff,47.2
OA17,OA,M,6,NORM_Time_per_diff,45
OA14,OA,F,6,NORM_Time_per_diff,62.5
OA35,OA,M,6,NORM_Time_per_diff,49.17
OA18,OA,M,6,NORM_Time_per_diff,44.5
OA13,OA,F,6,NORM_Time_per_diff,35.5
OA11,OA,F,6,NORM_Time_per_diff,39.6
OA24,OA,F,6,NORM_Time_per_diff,35.6
OA15,OA,F,6,NORM_Time_per_diff,56.18
OA31,OA,F,6,NORM_Time_per_diff,42.58
OA25,OA,F,6,NORM_Time_per_diff,56.36
OA20,OA,M,6,NORM_Time_per_diff,49
OA23,OA,M,6,NORM_Time_per_diff,52.33
OA09,OA,F,6,NORM_Time_per_diff,48.17
OA37,OA,M,6,NORM_Time_per_diff,47.36
CH07,CH,F,1,SPSN_Time_per_diff,88.71
CH13,CH,M,1,SPSN_Time_per_diff,101.8
CH15,CH,M,1,SPSN_Time_per_diff,56.88
CH19,CH,F,1,SPSN_Time_per_diff,77.5
CH08,CH,F,1,SPSN_Time_per_diff,77
CH18,CH,F,1,SPSN_Time_per_diff,155
CH02,CH,F,1,SPSN_Time_per_diff,28.33
CH01,CH,F,1,SPSN_Time_per_diff,56.91
CH16,CH,M,1,SPSN_Time_per_diff,55.82
CH22,CH,M,1,SPSN_Time_per_diff,48.33
CH32,CH,F,1,SPSN_Time_per_diff,54.18
CH23,CH,M,1,SPSN_Time_per_diff,34.45
CH05,CH,M,1,SPSN_Time_per_diff,56.18
CH33,CH,F,1,SPSN_Time_per_diff,37.42
CH06,CH,M,1,SPSN_Time_per_diff,56.55
CH17,CH,M,1,SPSN_Time_per_diff,61.6
CH10,CH,M,1,SPSN_Time_per_diff,28.17
CH09,CH,M,1,SPSN_Time_per_diff,55.18
CH20,CH,F,1,SPSN_Time_per_diff,55.82
CH21,CH,F,1,SPSN_Time_per_diff,31.58
CH12,CH,M,2,SPSN_Time_per_diff,39.18
CH11,CH,M,2,SPSN_Time_per_diff,44.17
CH35,CH,F,2,SPSN_Time_per_diff,34.82
CH03,CH,F,2,SPSN_Time_per_diff,38.5
CH34,CH,F,2,SPSN_Time_per_diff,21.58
CH04,CH,F,2,SPSN_Time_per_diff,38.83
CH24,CH,F,2,SPSN_Time_per_diff,43.83
CH25,CH,F,2,SPSN_Time_per_diff,43.08
CH28,CH,F,2,SPSN_Time_per_diff,33.25
CH26,CH,F,2,SPSN_Time_per_diff,43.58
CH27,CH,F,2,SPSN_Time_per_diff,34.42
CH30,CH,M,2,SPSN_Time_per_diff,36
CH29,CH,F,2,SPSN_Time_per_diff,31.83
CH31,CH,M,2,SPSN_Time_per_diff,31.5
YA17,YA,M,3,SPSN_Time_per_diff,38
YA15,YA,M,3,SPSN_Time_per_diff,30.25
YA10,YA,F,3,SPSN_Time_per_diff,31.18
YA20,YA,M,3,SPSN_Time_per_diff,32.58
YA13,YA,M,3,SPSN_Time_per_diff,40.92
YA16,YA,M,3,SPSN_Time_per_diff,28.42
YA18,YA,M,3,SPSN_Time_per_diff,29.17
YA05,YA,F,3,SPSN_Time_per_diff,36
YA07,YA,F,3,SPSN_Time_per_diff,61.9
YA04,YA,F,3,SPSN_Time_per_diff,44.92
YA03,YA,F,3,SPSN_Time_per_diff,61.9
YA12,YA,M,3,SPSN_Time_per_diff,31.92
YA14,YA,M,3,SPSN_Time_per_diff,26.58
YA08,YA,F,3,SPSN_Time_per_diff,35.58
YA11,YA,M,3,SPSN_Time_per_diff,49
YA09,YA,F,3,SPSN_Time_per_diff,21.42
YA19,YA,M,3,SPSN_Time_per_diff,40.25
YA01,YA,F,3,SPSN_Time_per_diff,54.27
YA06,YA,F,3,SPSN_Time_per_diff,62
YA02,YA,F,3,SPSN_Time_per_diff,45.58
MA04,MA,F,4,SPSN_Time_per_diff,40.58
MA19,MA,M,4,SPSN_Time_per_diff,56.09
MA01,MA,F,4,SPSN_Time_per_diff,48.83
MA20,MA,M,4,SPSN_Time_per_diff,35.83
MA03,MA,F,4,SPSN_Time_per_diff,45.18
MA05,MA,M,4,SPSN_Time_per_diff,37.64
MA02,MA,F,4,SPSN_Time_per_diff,55.91
MA23,MA,F,4,SPSN_Time_per_diff,54
MA16,MA,M,4,SPSN_Time_per_diff,38.75
MA06,MA,M,4,SPSN_Time_per_diff,30.92
MA24,MA,F,4,SPSN_Time_per_diff,30.92
MA22,MA,M,4,SPSN_Time_per_diff,56.18
MA14,MA,F,4,SPSN_Time_per_diff,51.73
MA13,MA,F,4,SPSN_Time_per_diff,45.17
MA18,MA,M,4,SPSN_Time_per_diff,51.08
MA17,MA,M,4,SPSN_Time_per_diff,56.55
MA21,MA,M,4,SPSN_Time_per_diff,56.55
MA12,MA,F,4,SPSN_Time_per_diff,30.25
MA11,MA,F,4,SPSN_Time_per_diff,58.2
MA15,MA,M,4,SPSN_Time_per_diff,52.42
OA43,OA,M,5,SPSN_Time_per_diff,36.83
OA41,OA,M,5,SPSN_Time_per_diff,45.75
OA48,OA,M,5,SPSN_Time_per_diff,40.92
OA47,OA,M,5,SPSN_Time_per_diff,56.18
OA44,OA,M,5,SPSN_Time_per_diff,36.08
OA42,OA,M,5,SPSN_Time_per_diff,42.5
OA05,OA,F,5,SPSN_Time_per_diff,55.91
OA46,OA,M,5,SPSN_Time_per_diff,43.92
OA07,OA,F,5,SPSN_Time_per_diff,64
OA08,OA,F,5,SPSN_Time_per_diff,49.33
OA39,OA,M,5,SPSN_Time_per_diff,40.42
OA06,OA,F,5,SPSN_Time_per_diff,51.75
OA33,OA,F,5,SPSN_Time_per_diff,38.5
OA40,OA,M,5,SPSN_Time_per_diff,46.67
OA02,OA,F,5,SPSN_Time_per_diff,42.67
OA26,OA,F,5,SPSN_Time_per_diff,34.08
OA45,OA,M,5,SPSN_Time_per_diff,35.67
OA32,OA,F,5,SPSN_Time_per_diff,34.17
OA01,OA,F,5,SPSN_Time_per_diff,62.5
OA27,OA,F,5,SPSN_Time_per_diff,49.58
OA29,OA,M,6,SPSN_Time_per_diff,56.36
OA34,OA,M,6,SPSN_Time_per_diff,54.5
OA21,OA,M,6,SPSN_Time_per_diff,55.09
OA30,OA,F,6,SPSN_Time_per_diff,46.75
OA36,OA,M,6,SPSN_Time_per_diff,49.08
OA16,OA,F,6,SPSN_Time_per_diff,47.58
OA17,OA,M,6,SPSN_Time_per_diff,62.7
OA14,OA,F,6,SPSN_Time_per_diff,49.08
OA35,OA,M,6,SPSN_Time_per_diff,56.09
OA18,OA,M,6,SPSN_Time_per_diff,57.27
OA13,OA,F,6,SPSN_Time_per_diff,42.67
OA11,OA,F,6,SPSN_Time_per_diff,45.82
OA24,OA,F,6,SPSN_Time_per_diff,34
OA15,OA,F,6,SPSN_Time_per_diff,62.4
OA31,OA,F,6,SPSN_Time_per_diff,61.5
OA25,OA,F,6,SPSN_Time_per_diff,38.45
OA20,OA,M,6,SPSN_Time_per_diff,57.36
OA23,OA,M,6,SPSN_Time_per_diff,62.7
OA09,OA,F,6,SPSN_Time_per_diff,56.18
OA37,OA,M,6,SPSN_Time_per_diff,61.4
