id,part,sex,group,age_months,condition,rate
1,CH01,F,1,115,IMRE_artrate,3.11
2,CH02,F,1,114,IMRE_artrate,3.23
3,CH05,M,1,135,IMRE_artrate,3.47
4,CH06,M,1,136,IMRE_artrate,3.6
5,CH07,F,1,97,IMRE_artrate,3.37
6,CH08,F,1,100,IMRE_artrate,2.7
7,CH09,M,1,145,IMRE_artrate,3.89
8,CH10,M,1,144,IMRE_artrate,3.46
9,CH13,M,1,98,IMRE_artrate,3.88
10,CH15,M,1,98,IMRE_artrate,3.07
11,CH16,M,1,124,IMRE_artrate,3.57
12,CH17,M,1,140,IMRE_artrate,3.93
13,CH18,F,1,104,IMRE_artrate,2.69
14,CH19,F,1,99,IMRE_artrate,2.55
15,CH20,F,1,155,IMRE_artrate,3.51
16,CH21,F,1,153,IMRE_artrate,4.38
17,CH22,M,1,126,IMRE_artrate,3.82
18,CH23,M,1,132,IMRE_artrate,4.08
19,CH32,F,1,127,IMRE_artrate,3.23
20,CH33,F,1,135,IMRE_artrate,3.64
21,CH03,F,2,176,IMRE_artrate,3.57
22,CH04,F,2,185,IMRE_artrate,3.89
23,CH11,M,2,170,IMRE_artrate,5.14
24,CH12,M,2,167,IMRE_artrate,4.37
25,CH24,F,2,192,IMRE_artrate,3.76
26,CH25,F,2,193,IMRE_artrate,3.27
27,CH26,F,2,215,IMRE_artrate,4.16
28,CH27,F,2,215,IMRE_artrate,4.62
29,CH28,F,2,195,IMRE_artrate,4.22
30,CH29,F,2,207,IMRE_artrate,4.26
31,CH30,M,2,206,IMRE_artrate,4.76
32,CH31,M,2,212,IMRE_artrate,4.08
33,CH34,F,2,184,IMRE_artrate,3.45
34,CH35,F,2,171,IMRE_artrate,3.83
35,YA01,F,3,277,IMRE_artrate,5.3
36,YA02,F,3,318,IMRE_artrate,4.7
37,YA03,F,3,265,IMRE_artrate,3.76
38,YA04,F,3,264,IMRE_artrate,4.38
39,YA05,F,3,257,IMRE_artrate,4.64
40,YA06,F,3,295,IMRE_artrate,3.97
41,YA07,F,3,258,IMRE_artrate,4.26
42,YA08,F,3,267,IMRE_artrate,4.83
43,YA09,F,3,271,IMRE_artrate,3.57
44,YA10,F,3,241,IMRE_artrate,3.91
45,YA11,M,3,269,IMRE_artrate,4.29
46,YA12,M,3,266,IMRE_artrate,5.05
47,YA13,M,3,242,IMRE_artrate,4.62
48,YA14,M,3,266,IMRE_artrate,4.61
49,YA15,M,3,233,IMRE_artrate,4.16
50,YA16,M,3,244,IMRE_artrate,4
51,YA17,M,3,230,IMRE_artrate,4.45
52,YA18,M,3,244,IMRE_artrate,4.14
53,YA19,M,3,277,IMRE_artrate,3.89
54,YA20,M,3,241,IMRE_artrate,4.32
55,MA01,F,4,436,IMRE_artrate,4.21
56,MA02,F,4,476,IMRE_artrate,4
57,MA03,F,4,441,IMRE_artrate,4.32
58,MA04,F,4,431,IMRE_artrate,4.35
59,MA05,M,4,467,IMRE_artrate,4.79
60,MA06,M,4,506,IMRE_artrate,5
61,MA11,F,4,596,IMRE_artrate,4.22
62,MA12,F,4,599,IMRE_artrate,4.32
63,MA13,F,4,557,IMRE_artrate,3.43
64,MA14,F,4,554,IMRE_artrate,3.97
65,MA15,M,4,597,IMRE_artrate,3.99
66,MA16,M,4,515,IMRE_artrate,3.97
67,MA17,M,4,573,IMRE_artrate,4.34
68,MA18,M,4,558,IMRE_artrate,4.25
69,MA19,M,4,432,IMRE_artrate,4.69
70,MA20,M,4,438,IMRE_artrate,4.89
71,MA21,M,4,588,IMRE_artrate,4.23
72,MA22,M,4,547,IMRE_artrate,4
73,MA23,F,4,488,IMRE_artrate,4.26
74,MA24,F,4,528,IMRE_artrate,4.22
75,OA01,F,5,774,IMRE_artrate,3.78
76,OA02,F,5,745,IMRE_artrate,3.85
77,OA05,F,5,705,IMRE_artrate,3.62
78,OA06,F,5,717,IMRE_artrate,3.81
79,OA07,F,5,708,IMRE_artrate,3.57
80,OA08,F,5,708,IMRE_artrate,3.92
81,OA26,F,5,779,IMRE_artrate,3.96
82,OA27,F,5,780,IMRE_artrate,4.15
83,OA32,F,5,771,IMRE_artrate,4.03
84,OA33,F,5,732,IMRE_artrate,4.01
85,OA39,M,5,715,IMRE_artrate,3.58
86,OA40,M,5,733,IMRE_artrate,4.84
87,OA41,M,5,641,IMRE_artrate,4.01
88,OA42,M,5,685,IMRE_artrate,3.86
89,OA43,M,5,613,IMRE_artrate,4.14
90,OA44,M,5,656,IMRE_artrate,4.82
91,OA45,M,5,770,IMRE_artrate,3.84
92,OA46,M,5,705,IMRE_artrate,3.96
93,OA47,M,5,649,IMRE_artrate,3.67
94,OA48,M,5,643,IMRE_artrate,4.51
95,OA09,F,6,920,IMRE_artrate,3.15
96,OA11,F,6,884,IMRE_artrate,3.98
97,OA13,F,6,858,IMRE_artrate,3.4
98,OA14,F,6,820,IMRE_artrate,3.46
99,OA15,F,6,893,IMRE_artrate,3.74
100,OA16,F,6,801,IMRE_artrate,3.75
101,OA17,M,6,819,IMRE_artrate,4.22
102,OA18,M,6,834,IMRE_artrate,3.26
103,OA20,M,6,903,IMRE_artrate,3.38
104,OA21,M,6,797,IMRE_artrate,3.75
105,OA23,M,6,913,IMRE_artrate,3.8
106,OA24,F,6,892,IMRE_artrate,4.47
107,OA25,F,6,895,IMRE_artrate,3.56
108,OA29,M,6,781,IMRE_artrate,4.16
109,OA30,F,6,799,IMRE_artrate,3.12
110,OA31,F,6,893,IMRE_artrate,3.41
111,OA34,M,6,787,IMRE_artrate,4.16
112,OA35,M,6,830,IMRE_artrate,4.31
113,OA36,M,6,800,IMRE_artrate,3.62
114,OA37,M,6,949,IMRE_artrate,3.79
115,CH01,F,1,115,IMUR_artrate,3.17
116,CH02,F,1,114,IMUR_artrate,3.5
117,CH05,M,1,135,IMUR_artrate,3.76
118,CH06,M,1,136,IMUR_artrate,3.24
119,CH07,F,1,97,IMUR_artrate,3.22
120,CH08,F,1,100,IMUR_artrate,3.03
121,CH09,M,1,145,IMUR_artrate,3.79
122,CH10,M,1,144,IMUR_artrate,3.49
123,CH13,M,1,98,IMUR_artrate,3.87
124,CH15,M,1,98,IMUR_artrate,2.63
125,CH16,M,1,124,IMUR_artrate,3.77
126,CH17,M,1,140,IMUR_artrate,3.93
127,CH18,F,1,104,IMUR_artrate,2.51
128,CH19,F,1,99,IMUR_artrate,2.68
129,CH20,F,1,155,IMUR_artrate,3.66
130,CH21,F,1,153,IMUR_artrate,4.43
131,CH22,M,1,126,IMUR_artrate,3.97
132,CH23,M,1,132,IMUR_artrate,3.93
133,CH32,F,1,127,IMUR_artrate,3.25
134,CH33,F,1,135,IMUR_artrate,3.56
135,CH03,F,2,176,IMUR_artrate,3.5
136,CH04,F,2,185,IMUR_artrate,3.93
137,CH11,M,2,170,IMUR_artrate,5.36
138,CH12,M,2,167,IMUR_artrate,4.24
139,CH24,F,2,192,IMUR_artrate,3.8
140,CH25,F,2,193,IMUR_artrate,3.15
141,CH26,F,2,215,IMUR_artrate,4.11
142,CH27,F,2,215,IMUR_artrate,4.45
143,CH28,F,2,195,IMUR_artrate,4.19
144,CH29,F,2,207,IMUR_artrate,4.67
145,CH30,M,2,206,IMUR_artrate,4.87
146,CH31,M,2,212,IMUR_artrate,4.21
147,CH34,F,2,184,IMUR_artrate,3.72
148,CH35,F,2,171,IMUR_artrate,4.21
149,YA01,F,3,277,IMUR_artrate,5.37
150,YA02,F,3,318,IMUR_artrate,4.41
151,YA03,F,3,265,IMUR_artrate,3.57
152,YA04,F,3,264,IMUR_artrate,4.46
153,YA05,F,3,257,IMUR_artrate,4.39
154,YA06,F,3,295,IMUR_artrate,4.09
155,YA07,F,3,258,IMUR_artrate,4.37
156,YA08,F,3,267,IMUR_artrate,4.63
157,YA09,F,3,271,IMUR_artrate,3.41
158,YA10,F,3,241,IMUR_artrate,3.91
159,YA11,M,3,269,IMUR_artrate,4.37
160,YA12,M,3,266,IMUR_artrate,5.07
161,YA13,M,3,242,IMUR_artrate,4.7
162,YA14,M,3,266,IMUR_artrate,4.6
163,YA15,M,3,233,IMUR_artrate,3.9
164,YA16,M,3,244,IMUR_artrate,3.96
165,YA17,M,3,230,IMUR_artrate,4.47
166,YA18,M,3,244,IMUR_artrate,4.1
167,YA19,M,3,277,IMUR_artrate,4.04
168,YA20,M,3,241,IMUR_artrate,4.33
169,MA01,F,4,436,IMUR_artrate,4.18
170,MA02,F,4,476,IMUR_artrate,3.9
171,MA03,F,4,441,IMUR_artrate,4.13
172,MA04,F,4,431,IMUR_artrate,4.04
173,MA05,M,4,467,IMUR_artrate,4.33
174,MA06,M,4,506,IMUR_artrate,4.73
175,MA11,F,4,596,IMUR_artrate,4.27
176,MA12,F,4,599,IMUR_artrate,4.52
177,MA13,F,4,557,IMUR_artrate,3.4
178,MA14,F,4,554,IMUR_artrate,4.02
179,MA15,M,4,597,IMUR_artrate,4.05
180,MA16,M,4,515,IMUR_artrate,4.02
181,MA17,M,4,573,IMUR_artrate,4.35
182,MA18,M,4,558,IMUR_artrate,4.09
183,MA19,M,4,432,IMUR_artrate,4.74
184,MA20,M,4,438,IMUR_artrate,5.08
185,MA21,M,4,588,IMUR_artrate,4.32
186,MA22,M,4,547,IMUR_artrate,3.96
187,MA23,F,4,488,IMUR_artrate,4.5
188,MA24,F,4,528,IMUR_artrate,4.24
189,OA01,F,5,774,IMUR_artrate,4.16
190,OA02,F,5,745,IMUR_artrate,4.06
191,OA05,F,5,705,IMUR_artrate,3.64
192,OA06,F,5,717,IMUR_artrate,3.69
193,OA07,F,5,708,IMUR_artrate,3.69
194,OA08,F,5,708,IMUR_artrate,3.99
195,OA26,F,5,779,IMUR_artrate,3.97
196,OA27,F,5,780,IMUR_artrate,4
197,OA32,F,5,771,IMUR_artrate,3.93
198,OA33,F,5,732,IMUR_artrate,3.82
199,OA39,M,5,715,IMUR_artrate,3.87
200,OA40,M,5,733,IMUR_artrate,4.77
201,OA41,M,5,641,IMUR_artrate,4.06
202,OA42,M,5,685,IMUR_artrate,3.89
203,OA43,M,5,613,IMUR_artrate,4.05
204,OA44,M,5,656,IMUR_artrate,4.75
205,OA45,M,5,770,IMUR_artrate,3.97
206,OA46,M,5,705,IMUR_artrate,3.89
207,OA47,M,5,649,IMUR_artrate,3.84
208,OA48,M,5,643,IMUR_artrate,4.45
209,OA09,F,6,920,IMUR_artrate,3.01
210,OA11,F,6,884,IMUR_artrate,3.99
211,OA13,F,6,858,IMUR_artrate,3.29
212,OA14,F,6,820,IMUR_artrate,3.28
213,OA15,F,6,893,IMUR_artrate,3.82
214,OA16,F,6,801,IMUR_artrate,3.56
215,OA17,M,6,819,IMUR_artrate,4.15
216,OA18,M,6,834,IMUR_artrate,3.33
217,OA20,M,6,903,IMUR_artrate,3.36
218,OA21,M,6,797,IMUR_artrate,3.69
219,OA23,M,6,913,IMUR_artrate,3.81
220,OA24,F,6,892,IMUR_artrate,4.22
221,OA25,F,6,895,IMUR_artrate,3.57
222,OA29,M,6,781,IMUR_artrate,4.21
223,OA30,F,6,799,IMUR_artrate,2.91
224,OA31,F,6,893,IMUR_artrate,3.25
225,OA34,M,6,787,IMUR_artrate,4.13
226,OA35,M,6,830,IMUR_artrate,4.39
227,OA36,M,6,800,IMUR_artrate,3.62
228,OA37,M,6,949,IMUR_artrate,3.67
343,CH01,F,1,115,SPSN_artrate,3.25
344,CH02,F,1,114,SPSN_artrate,3
345,CH05,M,1,135,SPSN_artrate,3.75
346,CH06,M,1,136,SPSN_artrate,3.7
347,CH07,F,1,97,SPSN_artrate,3.11
348,CH08,F,1,100,SPSN_artrate,2.72
349,CH09,M,1,145,SPSN_artrate,3.78
350,CH10,M,1,144,SPSN_artrate,3.66
351,CH13,M,1,98,SPSN_artrate,3.5
352,CH15,M,1,98,SPSN_artrate,2.83
353,CH16,M,1,124,SPSN_artrate,3.69
354,CH17,M,1,140,SPSN_artrate,3.54
355,CH18,F,1,104,SPSN_artrate,2.75
356,CH19,F,1,99,SPSN_artrate,2.64
357,CH20,F,1,155,SPSN_artrate,3.69
358,CH21,F,1,153,SPSN_artrate,4.37
359,CH22,M,1,126,SPSN_artrate,3.78
360,CH23,M,1,132,SPSN_artrate,4.07
361,CH32,F,1,127,SPSN_artrate,3.42
362,CH33,F,1,135,SPSN_artrate,3.72
363,CH03,F,2,176,SPSN_artrate,3.84
364,CH04,F,2,185,SPSN_artrate,3.89
365,CH11,M,2,170,SPSN_artrate,5.16
366,CH12,M,2,167,SPSN_artrate,4.41
367,CH24,F,2,192,SPSN_artrate,3.61
368,CH25,F,2,193,SPSN_artrate,3.09
369,CH26,F,2,215,SPSN_artrate,4.21
370,CH27,F,2,215,SPSN_artrate,4.51
371,CH28,F,2,195,SPSN_artrate,4.17
372,CH29,F,2,207,SPSN_artrate,4.49
373,CH30,M,2,206,SPSN_artrate,4.97
374,CH31,M,2,212,SPSN_artrate,3.98
375,CH34,F,2,184,SPSN_artrate,3.75
376,CH35,F,2,171,SPSN_artrate,3.84
377,YA01,F,3,277,SPSN_artrate,5.62
378,YA02,F,3,318,SPSN_artrate,4.48
379,YA03,F,3,265,SPSN_artrate,3.66
380,YA04,F,3,264,SPSN_artrate,4.38
381,YA05,F,3,257,SPSN_artrate,4.52
382,YA06,F,3,295,SPSN_artrate,4.05
383,YA07,F,3,258,SPSN_artrate,4.27
384,YA08,F,3,267,SPSN_artrate,4.63
385,YA09,F,3,271,SPSN_artrate,3.58
386,YA10,F,3,241,SPSN_artrate,3.81
387,YA11,M,3,269,SPSN_artrate,4.39
388,YA12,M,3,266,SPSN_artrate,4.95
389,YA13,M,3,242,SPSN_artrate,4.33
390,YA14,M,3,266,SPSN_artrate,4.64
391,YA15,M,3,233,SPSN_artrate,3.88
392,YA16,M,3,244,SPSN_artrate,4.1
393,YA17,M,3,230,SPSN_artrate,4.47
394,YA18,M,3,244,SPSN_artrate,3.89
395,YA19,M,3,277,SPSN_artrate,4.12
396,YA20,M,3,241,SPSN_artrate,4.09
397,MA01,F,4,436,SPSN_artrate,4.28
398,MA02,F,4,476,SPSN_artrate,4.04
399,MA03,F,4,441,SPSN_artrate,4.21
400,MA04,F,4,431,SPSN_artrate,4.23
401,MA05,M,4,467,SPSN_artrate,4.51
402,MA06,M,4,506,SPSN_artrate,4.72
403,MA11,F,4,596,SPSN_artrate,4.14
404,MA12,F,4,599,SPSN_artrate,4.55
405,MA13,F,4,557,SPSN_artrate,3.64
406,MA14,F,4,554,SPSN_artrate,4.16
407,MA15,M,4,597,SPSN_artrate,4.13
408,MA16,M,4,515,SPSN_artrate,4.19
409,MA17,M,4,573,SPSN_artrate,3.96
410,MA18,M,4,558,SPSN_artrate,4.13
411,MA19,M,4,432,SPSN_artrate,5.08
412,MA20,M,4,438,SPSN_artrate,4.96
413,MA21,M,4,588,SPSN_artrate,4.28
414,MA22,M,4,547,SPSN_artrate,4.16
415,MA23,F,4,488,SPSN_artrate,4.08
416,MA24,F,4,528,SPSN_artrate,4.37
417,OA01,F,5,774,SPSN_artrate,3.62
418,OA02,F,5,745,SPSN_artrate,4.1
419,OA05,F,5,705,SPSN_artrate,3.83
420,OA06,F,5,717,SPSN_artrate,3.93
421,OA07,F,5,708,SPSN_artrate,3.63
422,OA08,F,5,708,SPSN_artrate,3.94
423,OA26,F,5,779,SPSN_artrate,4.05
424,OA27,F,5,780,SPSN_artrate,4.17
425,OA32,F,5,771,SPSN_artrate,4.02
426,OA33,F,5,732,SPSN_artrate,4.02
427,OA39,M,5,715,SPSN_artrate,3.59
428,OA40,M,5,733,SPSN_artrate,5.03
429,OA41,M,5,641,SPSN_artrate,3.96
430,OA42,M,5,685,SPSN_artrate,3.71
431,OA43,M,5,613,SPSN_artrate,3.96
432,OA44,M,5,656,SPSN_artrate,4.67
433,OA45,M,5,770,SPSN_artrate,3.9
434,OA46,M,5,705,SPSN_artrate,3.91
435,OA47,M,5,649,SPSN_artrate,3.69
436,OA48,M,5,643,SPSN_artrate,4.37
437,OA09,F,6,920,SPSN_artrate,3.12
438,OA11,F,6,884,SPSN_artrate,4.01
439,OA13,F,6,858,SPSN_artrate,3.35
440,OA14,F,6,820,SPSN_artrate,3.29
441,OA15,F,6,893,SPSN_artrate,3.62
442,OA16,F,6,801,SPSN_artrate,3.66
443,OA17,M,6,819,SPSN_artrate,4.53
444,OA18,M,6,834,SPSN_artrate,3.3
445,OA20,M,6,903,SPSN_artrate,3.29
446,OA21,M,6,797,SPSN_artrate,3.75
447,OA23,M,6,913,SPSN_artrate,3.68
448,OA24,F,6,892,SPSN_artrate,4.36
449,OA25,F,6,895,SPSN_artrate,3.47
450,OA29,M,6,781,SPSN_artrate,4.33
